,Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
6799,6828,I am a developer by profession,No,37.0,11,Yearly,1300000.0,43084.0,Taiwan,New Taiwan dollar,TWD,PostgreSQL;Redis,PostgreSQL;Redis;SQLite,"Database administrator;Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;HTML/CSS;Python;Rust,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,Torch/PyTorch,Ansible;Hadoop;Node.js;Torch/PyTorch,Github;Gitlab;Slack,Github;Gitlab;Slack,No,Somewhat important,Very important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Never,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,2 to 9 employees,AWS;Docker;Linux,AWS;Docker;Linux;MacOS,I have a great deal of influence,,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Somewhat more welcome now than last year,40.0,20,10
6906,6935,I am a developer by profession,No,,19,Monthly,,,Taiwan,United States dollar,USD,Couchbase;Elasticsearch;Firebase;Redis,DynamoDB;Microsoft SQL Server,"Developer, back-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;TypeScript,Bash/Shell/PowerShell;C#;Java;JavaScript;Python;SQL,Ansible,.NET;.NET Core;Node.js,Stack Overflow for Teams,Confluence;Jira;Github;Gitlab;Slack,Yes,Extremely important,Very important,Better compensation;Trouble with my direct manager;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Visit another developer community (please name):,Windows,"1,000 to 4,999 employees",Kubernetes;MacOS;Microsoft Azure,AWS;Docker;Windows,I have some influence,,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Too long,No,"Information systems, information technology, or system administration",React.js;Vue.js,ASP.NET;ASP.NET Core;jQuery,Somewhat more welcome now than last year,8.0,14,10
6943,6972,I am a developer by profession,Yes,27.0,10,Monthly,48000.0,19092.0,Taiwan,New Taiwan dollar,TWD,Firebase;MariaDB;MongoDB,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",Slightly satisfied,I am actively looking for a job,C#;Java;JavaScript;PHP;Python,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,.NET Core,.NET;Cordova;Node.js;Pandas,Github;Gitlab;Slack,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Critically important,Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Visit Stack Overflow;Go for a walk or other physical activity,MacOS,20 to 99 employees,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS,Android;Arduino;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,I have a great deal of influence,Bisexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;React.js,Express;Laravel;Vue.js,Just as welcome now as I felt last year,40.0,10,3
6954,6983,I am a student who is learning to code,Yes,18.0,18,,,,Taiwan,,,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,East Asian,Man,Industry that I’d be working in;Diversity of the company or organization;How widely used or impactful my work output would be,,I am not interested in new job opportunities,HTML/CSS;Java;JavaScript;Julia;Python;R,C;C++;Python,,,Github,Github,,,,,,Every few months,Yes,,No,,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,,Arduino;iOS;MacOS;Windows,MacOS;Windows,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Neither easy nor difficult,Too long,No,,,,Just as welcome now as I felt last year,,Less than 1 year,
7044,7073,"I used to be a developer by profession, but no longer am",No,33.0,18,,,,Taiwan,,,MySQL;Redis,MySQL,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Southeast Asian,Man,,,,Java,C#;C++;Java,Unity 3D,Unity 3D,Jira;Trello,Jira;Github;Gitlab;Trello,,,Critically important,,,Once a year,Not sure,,No,,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow,Windows,,Android,Android;Linux,,Gay or Lesbian,No,"No, not really",,A few times per week,Easy,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET,ASP.NET,A lot more welcome now than last year,,7,5
7099,7128,I am a developer by profession,Yes,,20,Monthly,80000.0,31812.0,Taiwan,New Taiwan dollar,TWD,Cassandra;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Elasticsearch;MariaDB;MySQL,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Engineer, data;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;R;SQL,Bash/Shell/PowerShell;HTML/CSS;Java;PHP;Python;R;SQL,Apache Spark;Flutter;Hadoop;Keras;Node.js;Pandas;TensorFlow;Torch/PyTorch,,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Google Suite (Docs, Meet, etc)",Not sure,Neutral,Fairly important,,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Linux-based,2 to 9 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;WordPress,AWS;Docker;Google Cloud Platform;Linux;WordPress,I have some influence,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Flask;jQuery;React.js;Spring;Vue.js,Flask,Just as welcome now as I felt last year,60.0,20,16
7106,7135,I am a developer by profession,Yes,33.0,10,Yearly,1500000.0,49712.0,Taiwan,New Taiwan dollar,TWD,DynamoDB;Microsoft SQL Server;MongoDB;SQLite,,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;Go;Objective-C;Python,Bash/Shell/PowerShell;C#,.NET Core;TensorFlow;Unity 3D;Unreal Engine;Xamarin,.NET,Jira;Github,Jira,Yes,Extremely important,Somewhat important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,No,Yes,Often: 1-2 days per week or more,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,500 to 999 employees,Android;Arduino;Docker;iOS;Linux;Windows;WordPress,Windows,I have little or no influence,,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too long,No,,Angular;Angular.js,,Somewhat more welcome now than last year,45.0,8,3
7430,7460,I code primarily as a hobby,Yes,56.0,19,,,,Taiwan,,,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,IBM DB2,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Southeast Asian,Man,,,,Python,Assembly;C,Pandas;TensorFlow,Pandas;TensorFlow,Github;Microsoft Azure;Stack Overflow for Teams,Github;Microsoft Azure;Stack Overflow for Teams,,,Fairly important,,,Every few months,Yes,,No,,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,,Linux;Windows,Windows,,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Django;Flask,,Somewhat less welcome now than last year,,20,
7568,7598,I am a developer by profession,Yes,29.0,18,Monthly,100000.0,39768.0,Taiwan,New Taiwan dollar,TWD,Firebase,SQLite,"Designer;Developer, desktop or enterprise applications;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very dissatisfied,I am actively looking for a job,Go;Objective-C;Python;Swift,HTML/CSS;JavaScript;Objective-C;SQL;Swift,Flutter;Node.js;React Native;TensorFlow;Unity 3D;Xamarin,.NET;.NET Core,Confluence;Jira;Github;Slack;Stack Overflow for Teams,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Extremely important,Fairly important,Just because;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Never,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,MacOS,100 to 499 employees,AWS;Google Cloud Platform;iOS;MacOS;Slack Apps and Integrations,iOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40.0,10,8
7610,7641,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,36.0,18,Monthly,55000.0,21876.0,Taiwan,New Taiwan dollar,TWD,Firebase;Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,East Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;Java;JavaScript;Python;SQL,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,.NET;Keras;TensorFlow,.NET;Keras;TensorFlow,"Jira;Slack;Trello;Google Suite (Docs, Meet, etc)","Jira;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos",Once a year,Yes,Yes,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"1,000 to 4,999 employees",Linux;Windows,Docker;Linux;Windows,I have little or no influence,,Yes,Not sure,Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;Flask;jQuery;Spring,ASP.NET;Flask;jQuery;Spring,A lot less welcome now than last year,40.0,10,6
